,player,team,position,batting_average,obp,slugging_percentage,ops,games_played,at_bats,runs,hits,doubles,triples,homeruns,rbi,hit_by_pitch,walks,strikeouts,stolen_bases,caught_stealing,all_american
154,Amanda Gonzalez,Louisiana Tech,,0.37,0.467,0.624,1.091,59,165,36,61,10,4,8,32,19,11,29,9,0,False
155,Jordyn Rudd,Northwestern,,0.37,0.442,0.584,1.026,58,173,31,64,11,1,8,52,8,19,9,1,0,False
156,Georgia Blair,Loyola Marymount,,0.37,0.446,0.593,1.039,50,135,20,50,12,0,6,32,2,18,26,3,0,False
157,Tata Davis,Southern Miss,,0.37,0.389,0.575,0.964,52,181,37,67,11,1,8,41,3,4,14,2,0,False
158,Leea Hanks,Notre Dame,,0.37,0.429,0.613,1.042,52,173,53,64,14,5,6,2,5,13,0,0,0,False
159,Maddie Hayden,Louisiana,,0.369,0.407,0.469,0.876,53,160,38,59,9,2,1,28,1,10,10,28,6,False
160,Hannah Adams,Florida,,0.369,0.45,0.5,0.95,55,168,40,62,11,1,3,27,4,24,18,15,2,False
161,Lauren Johnson,Kentucky,,0.369,0.416,0.598,1.014,56,179,53,66,9,4,8,39,1,15,23,11,0,False
162,Saige Alfaro,Canisius,,0.369,0.399,0.433,0.832,49,141,27,52,5,2,0,18,0,7,25,12,1,False
163,Kayla Bowen,New Mexico State,,0.369,0.42,0.656,1.076,51,160,35,59,13,0,11,41,3,11,32,3,1,False
164,Calie Burris,Abilene Christian,,0.369,0.517,0.623,1.14,51,130,19,48,13,1,6,26,7,34,25,1,0,False
165,Carlie Scupin,Arizona,,0.369,0.433,0.765,1.198,61,179,36,66,14,0,19,59,7,14,29,0,0,False
166,Kristina Burkhardt,Michigan,,0.369,0.433,0.583,1.016,56,187,41,69,20,7,2,32,3,18,18,15,3,False
167,Kelsey Lalor,Boise State,,0.368,0.429,0.724,1.153,50,152,39,56,15,0,13,46,4,12,25,2,0,False
168,Mary Katherine Tedder,Samford,,0.368,0.481,0.652,1.133,53,155,33,57,19,2,7,41,1,33,20,2,0,False
169,Alyssa Brito,Oklahoma,,0.368,0.453,0.743,1.196,61,136,46,50,7,1,14,3,4,18,0,0,0,False
170,Ciara Briggs,LSU,,0.368,0.431,0.468,0.899,57,190,53,70,7,3,2,2,0,24,0,0,0,False
171,Jil Poullard,McNeese,,0.367,0.5,0.64,1.14,56,150,44,55,12,4,7,45,9,37,17,19,4,False
172,Katelyn Whiting,Weber State,,0.367,0.465,0.408,0.873,50,120,37,44,5,0,0,10,2,20,29,5,1,False
173,Ryleigh Mata,Incarnate Word,,0.367,0.403,0.438,0.841,51,169,33,62,8,2,0,13,0,11,6,3,2,False
174,Izzy Eltze,Omaha,,0.367,0.394,0.671,1.065,46,158,38,58,9,6,9,29,5,4,14,10,2,False
175,Linnah Rebolledo,Utah Valley,,0.367,0.442,0.554,0.996,51,166,50,61,13,0,6,39,3,20,14,14,3,False
176,Allie Skaggs,Arizona,,0.367,0.462,0.797,1.259,61,177,48,65,4,0,24,58,3,30,29,1,0,True
177,Lauryn Gross,Alabama A&M,,0.366,0.491,0.452,0.943,31,93,29,34,4,2,0,12,3,20,9,21,2,False
178,Allie Englant,Ohio,,0.366,0.434,0.523,0.957,44,153,35,56,12,3,2,18,3,17,11,27,4,False
179,Carley Barjaktarovich,Lehigh,,0.366,0.416,0.366,0.782,50,164,36,60,0,0,0,4,0,14,15,23,4,False
180,Alexa Williams,George Washington,,0.366,0.416,0.671,1.087,50,161,43,59,11,1,12,55,1,14,4,6,1,False
181,Mia Davidson,Mississippi State,,0.366,0.545,0.854,1.399,64,164,49,60,11,0,23,45,22,45,31,0,1,True
182,Tiffany Giese,Green Bay,,0.366,0.433,0.429,0.862,50,161,36,59,8,1,0,15,2,17,25,25,2,False
183,Saige Pye,Marshall,,0.366,0.452,0.795,1.247,53,161,40,59,9,0,20,51,5,21,25,0,0,False
184,Rheanne Lewis,Idaho State,,0.366,0.384,0.515,0.899,52,194,49,71,11,3,4,0,5,2,0,0,0,False
185,Destini Brown,Southern Miss,,0.366,0.475,0.615,1.09,52,161,49,59,6,5,8,27,3,32,23,29,2,False
186,Tiffany Domingue,USC Upstate,,0.365,0.428,0.593,1.021,56,167,46,61,10,2,8,43,2,17,16,8,0,False
187,Laney Roos,Northwestern State,,0.365,0.431,0.547,0.978,51,159,31,58,11,0,6,32,4,16,11,0,1,False
188,Angel Jasso,Syracuse,,0.365,0.428,0.628,1.056,46,137,30,50,15,3,5,32,7,11,11,21,5,False
189,Cori McMillan,Radford,,0.365,0.41,0.736,1.146,48,148,38,54,13,0,14,2,2,10,0,0,0,False
190,Peyton Toto,Cal State Fullerton,,0.365,0.429,0.511,0.94,47,137,26,50,8,0,4,1,9,8,0,0,0,False
191,Cam Ybarra,Nebraska,,0.365,0.404,0.646,1.05,52,178,37,65,14,3,10,39,0,13,9,1,0,True
192,Jillian Herbst,Colgate,,0.365,0.41,0.509,0.919,48,159,35,58,9,4,2,20,2,11,18,1,0,False
193,Chloe Camarero,Weber State,,0.364,0.438,0.688,1.126,50,154,40,56,11,3,11,40,4,17,10,9,5,False
194,Hanna Delgado,Oregon,,0.364,0.467,0.487,0.954,52,154,41,56,8,1,3,24,6,24,16,16,4,False
195,Abbie Squier,Nebraska,,0.364,0.44,0.552,0.992,57,165,44,60,10,0,7,24,9,15,20,5,1,False
196,Shannon Stein,Central Michigan,,0.364,0.419,0.775,1.194,52,173,38,63,20,0,17,47,1,16,17,0,0,False
197,Bre Roper,Ole Miss,,0.364,0.465,0.523,0.988,60,176,39,64,14,1,4,37,0,37,26,10,1,False
198,Jayda Kearney,Georgia,,0.364,0.446,0.703,1.149,60,165,42,60,7,2,15,56,3,24,22,10,3,False
199,Jackie Masone,Drexel,,0.364,0.458,0.597,1.055,40,129,37,47,9,0,7,25,1,22,18,4,0,False
200,Camryn McLemore,Jacksonville State,,0.363,0.446,0.637,1.083,44,113,24,41,8,1,7,19,2,15,15,1,1,False
201,Macy Johnson,Drake,,0.363,0.463,0.489,0.952,45,135,40,49,7,2,2,21,3,22,14,23,0,False
202,Grace Stansfield,Rider,,0.363,0.415,0.404,0.819,54,171,27,62,7,0,0,27,3,13,12,2,0,False
203,Jess DeWitt,Fairleigh Dickinson,,0.363,0.392,0.606,0.998,48,160,32,58,12,0,9,31,1,8,16,1,0,False
204,Sydney Poole,Loyola Marymount,,0.363,0.422,0.411,0.833,54,168,46,61,3,1,1,8,0,17,37,27,5,False
205,Alessandra Ponce,George Washington,,0.363,0.419,0.536,0.955,53,168,23,61,17,0,4,35,3,14,13,2,0,False
206,Riley Plogger,Northern Colorado,,0.363,0.429,0.52,0.949,51,171,38,62,9,3,4,3,2,18,0,0,0,False
207,Rylie Hamilton,Southern Illinois,,0.363,0.414,0.541,0.955,46,157,38,57,3,2,7,36,0,15,24,2,1,False
208,Emma Clark,Notre Dame,,0.362,0.383,0.427,0.81,52,185,47,67,8,2,0,1,1,6,0,0,0,False
209,Abby Sweet,Notre Dame,,0.362,0.454,0.564,1.018,52,163,55,59,11,2,6,0,16,13,0,0,0,False
210,Kiki Milloy,Tennessee,,0.362,0.455,0.673,1.128,59,196,53,71,12,2,15,53,13,21,30,31,2,False
211,Yazmine Romero,Youngstown State,,0.362,0.4,0.403,0.803,56,196,32,71,6,1,0,0,0,13,0,0,0,False
212,Ellen Hubbard,Merrimack,,0.362,0.404,0.465,0.869,42,127,15,46,7,0,2,22,1,8,11,3,0,False
